"Part","Value","Device","Package","Description","AVAILABILITY","CATEGORY","DESCRIPTION","MANUFACTURER","MF","MP","MPN","OPERATING_TEMP","PACKAGE","PART_STATUS","POPULARITY","PRICE","PROD_ID","PURCHASE-URL","ROHS_COMPLIANT","SERIES","SF_ID","SUB-CATEGORY","THERMALLOSS","TP_SIGNAL_NAME","TYPE","VALUE","VOLTAGE_RATING",
"BT1","3000TR","3000TR","BAT_3000TR","Ultra Low Profile SMT Coin Cell Battery Contact Retainer for 12 mm Cell Check availability","In Stock",""," SMT Holder for 12mm Cell-Tin Nickel Plate on T&R ","","Keystone","3000TR","","","None","","","None","","https://pricing.snapeda.com/search/part/3000TR/?ref=eda","","","","","","","","","",
"C1","100n","C_CHIP-0603(1608-METRIC)","CAPC1608X85","Capacitor - Generic","","Capacitor","","","","","","","","","","","","","","","","","","","","","",
"C2","100n","C_CHIP-0603(1608-METRIC)","CAPC1608X85","Capacitor - Generic","","Capacitor","","","","","","","","","","","","","","","","","","","","","",
"C3","100n","C_CHIP-0603(1608-METRIC)","CAPC1608X85","Capacitor - Generic","","Capacitor","","","","","","","","","","","","","","","","","","","","","",
"C4","100n","C_CHIP-0603(1608-METRIC)","CAPC1608X85","Capacitor - Generic","","Capacitor","","","","","","","","","","","","","","","","","","","","","",
"C5","1uF","C_CHIP-0603(1608-METRIC)","CAPC1608X85","Capacitor - Generic","","Capacitor","","","","","","","","","","","","","","","","","","","","","",
"C6","100n","C_CHIP-0603(1608-METRIC)","CAPC1608X85","Capacitor - Generic","","Capacitor","","","","","","","","","","","","","","","","","","","","","",
"C7","100pf","C_CHIP-0603(1608-METRIC)","CAPC1608X85","Capacitor - Generic","","Capacitor","","","","","","","","","","","","","","","","","","","","","",
"C8","100n","C_CHIP-0603(1608-METRIC)","CAPC1608X85","Capacitor - Generic","","Capacitor","","","","","","","","","","","","","","","","","","","","","",
"C9","470uF","C-POL_RADIAL-11MM-DIA","CAPPRD508W65D1000H1100B","Capacitor Polarised - Generic","","Capacitor","","","","","","","","","","","","","","","","","","","","","",
"C10","470uF","C-POL_RADIAL-11MM-DIA","CAPPRD508W65D1000H1100B","Capacitor Polarised - Generic","","Capacitor","","","","","","","","","","","","","","","","","","","","","",
"J1","THING_PLUS_PHYSICAL","THING_PLUS_PHYSICAL","THING_PLUS","","","","","","","","","","","","","","","","","","","","","","","","",
"J2","","JST_2MM_MALE","JST-2-SMD","JST 2MM MALE RA CONNECTOR","","","","","","","","","","","","","CONN-11443","","","","PRT-08612","","","","","","",
"J3","","JST_2MM_MALE","JST-2-SMD","JST 2MM MALE RA CONNECTOR","","","","","","","","","","","","","CONN-11443","","","","PRT-08612","","","","","","",
