Designator,Mid X,Mid Y,Layer,Rotation
C1,29.64,66.44,Top,270
C2,31.73,66.44,Top,270
C3,40.12,66.45,Top,270
C4,42.22,66.45,Top,270
C5,39.07,60.75,Top,180
C6,29.83,27.84,Top,270
C7,31.93,27.83,Top,270
C8,40.31,27.85,Top,270
C9,42.41,27.84,Top,270
C10,39.26,22.16,Top,180
C11,6.71,66.34,Top,270
C12,8.83,66.34,Top,270
C13,19.41,66.35,Top,270
C14,17.32,66.35,Top,270
C15,16.29,60.64,Top,180
C16,42.55,50.63,Top,180
C17,42.55,41.71,Top,180
C18,2.02,25.37,Top,270
C19,8.61,20.41,Top,270
C20,9.05,29.36,Top,0
F1,8.75,33.63,Top,90
J1,4.38,43.17,Top,90
J2,4.37,10.5,Top,90
J3,55.73,69.56,Top,270
J4,55.66,29.69,Top,270
J5,55.46,42.69,Top,270
J6,49.53,2.5,Top,0
J7,55.18,56.34,Top,270
J8,56,16.5,Top,270
JP9,12.76,31.13,Top,180
L1,35.72,72.95,Top,0
L2,35.94,34.38,Top,0
L3,12.95,72.88,Top,0
LED1,12.66,24.46,Top,0
LED2,12.66,25.92,Top,0
Q1,30,3,Top,180
Q2,30,8,Top,270
R1,40.72,62.3,Top,0
R2,37.45,62.29,Top,0
R3,41.62,59.91,Top,90
R4,40.93,23.68,Top,0
R5,37.67,23.69,Top,0
R6,41.82,21.29,Top,90
R7,17.93,62.18,Top,0
R8,14.67,62.19,Top,0
R9,18.82,59.79,Top,90
R11,1.98,20.28,Top,90
R12,5.18,29.37,Top,0
R13,3.46,20.29,Top,90
R14,11.71,28.33,Top,270
R15,13.7,28.34,Top,270
R16,26.5,3,Top,90
R17,26.5,8,Top,90
U1,35.91,65.71,Top,180
U2,36.13,27.1,Top,180
U3,13.13,65.6,Top,180
U4,42.47,46.01,Top,90
U5,7.4,25.38,Top,90
