Designator,Mid X,Mid Y,Layer,Rotation
3.3V,111.51,41.91,Top,180.0
4.4V,111.51,37.34,Top,180.0
BAT,109.98,11.43,Top,180.0
BT1,58.17, 4.06,Top,180.0
C1,74.68,63.75,Top,270.0
C2,64.52,16.00,Top,180.0
C3, 4.39,33.71,Top,270.0
C4,65.20,18.47,Top,270.0
C5,50.04,85.22,Top,270.0
C6,111.25,61.98,Top,270.0
C7,51.82,85.22,Top,270.0
C8,95.00,49.78,Top,0.0
C9,25.91,36.07,Top,0.0
C10,14.48,36.07,Top,0.0
C11,87.38,12.32,Top,90.0
C12,85.09,12.32,Top,90.0
C13,75.44,12.32,Top,90.0
C14,73.15,12.32,Top,90.0
C15,77.09,18.03,Top,0.0
C16,24.89,13.59,Top,90.0
C17,22.61,13.59,Top,90.0
C18,12.95,13.59,Top,90.0
C19,10.67,13.59,Top,90.0
C20,14.61,19.56,Top,0.0
C21,117.09,22.10,Top,180.0
C23,101.73,11.68,Top,180.0
C24,107.44,16.38,Top,90.0
C25,100.08,16.89,Top,90.0
F1,94.49,15.49,Top,180.0
GPS,111.51,39.62,Top,180.0
GSM,111.51,35.05,Top,180.0
J1,46.74,-0.25,Top,0.0
JP1,93.22,10.41,Top,270.0
JP2,28.32, 1.78,Top,270.0
JP3,72.39,48.51,Top,180.0
JP4,21.59,43.18,Top,270.0
JP5,72.90,30.23,Top,0.0
JP10,92.96,20.07,Top,90.0
L1,80.26, 6.60,Top,180.0
L3,17.78, 7.87,Top,180.0
LED4,103.63,20.32,Top,90.0
LED5,102.11,20.32,Top,90.0
LED_EN,117.86,40.39,Top,0.0
Q1,48.51,16.26,Top,270.0
Q2,65.53,50.28,Top,270.0
Q3,34.33,20.39,Top,0.0
Q6,49.02,11.18,Top,180.0
Q7,112.23,19.48,Top,180.0
R1,58.67,16.51,Top,180.0
R2,52.32,13.21,Top,270.0
R3,104.90,41.91,Top,180.0
R4,104.90,39.62,Top,180.0
R5,104.90,37.34,Top,180.0
R6,75.44,16.51,Top,180.0
R7,78.74,16.51,Top,180.0
R8,74.55,18.92,Top,270.0
R9,12.95,17.78,Top,180.0
R10,16.26,17.78,Top,180.0
R11,12.07,20.19,Top,270.0
R12,100.46, 3.56,Top,0.0
R13,102.36, 7.87,Top,0.0
R14,99.31,13.72,Top,0.0
R15,102.36, 6.35,Top,0.0
R16,98.55,19.56,Top,0.0
R17,98.55,21.34,Top,0.0
R18,61.98,50.29,Top,90.0
R19,63.50,47.63,Top,180.0
R20,32.77,17.53,Top,180.0
R21,36.07,15.49,Top,270.0
R22,111.25,17.02,Top,0.0
R23,117.09,52.83,Top,90.0
R24,117.09,20.07,Top,0.0
R25,117.09,16.76,Top,180.0
R26,117.09,56.39,Top,90.0
R27,104.90,35.05,Top,180.0
R28,73.91,26.42,Top,180.0
SOLAR,93.22, 3.56,Top,0.0
TP1,99.57,10.16,Top,0.0
TP3,70.87, 2.54,Top,0.0
TP6,11.94, 1.27,Top,0.0
U$1,97.54,43.18,Top,180.0
U$2, 5.00,86.39,Top,0.0
U1,114.30,54.36,Top,270.0
U2, 4.32,44.48,Top,0.0
U3,80.26,12.95,Top,0.0
U4, 0.51, 0.00,Top,0.0
U5,119.13,45.72,Top,90.0
U6,17.78,14.22,Top,0.0
U7,58.17,23.11,Top,90.0
U8,103.89,15.49,Top,180.0
XB1,58.17,77.72,Top,0.0
